"","hw1","hw2","hw3","hw4","hw5"
"student-1",100,73,100,88,79
"student-2",85,64,78,89,78
"student-3",83,69,77,100,77
"student-4",88,NA,73,100,76
"student-5",88,100,75,86,79
"student-6",89,78,100,89,77
"student-7",89,100,74,87,100
"student-8",89,100,76,86,100
"student-9",86,100,77,88,77
"student-10",89,72,79,NA,76
"student-11",82,66,78,84,100
"student-12",100,70,75,92,100
"student-13",89,100,76,100,80
"student-14",85,100,77,89,76
"student-15",85,65,76,89,NA
"student-16",92,100,74,89,77
"student-17",88,63,100,86,78
"student-18",91,NA,100,87,100
"student-19",91,68,75,86,79
"student-20",91,68,76,88,76
